1.14,1.44,10.53
1.04,1.1,10.96
0.83,1.21,11.01
0.83,1.29,10.85
0.97,1.31,10.71
0.93,1.27,10.71
0.91,1.16,10.7
0.89,1.24,10.87
0.86,1.32,10.75
0.82,1.21,10.85
0.8,1.13,10.85
0.78,1.21,10.8
0.79,1.18,10.82
0.79,1.3,10.57
0.87,1.28,10.64
0.69,1.05,11.05
0.76,1.16,10.97
0.68,1.13,10.74
0.75,1.17,10.72
0.66,1.15,10.87
0.7,1.08,10.86
0.78,1.25,10.76
0.68,1.13,10.76
0.62,1.1,10.72
0.72,1.12,10.86
0.69,1.1,10.83
0.63,1.16,10.73
0.7,1.16,10.7
0.65,1.15,10.88
0.65,1.07,10.92
0.66,1.11,10.9
0.64,1.14,10.87
0.66,1.12,10.88
0.69,1.11,11.01
0.61,1.12,11.35
0.58,1.36,10.89
0.74,1.25,10.63
0.81,1.18,10.69
0.82,1.18,10.8
0.72,1.4,10.78
0.78,1.31,10.9
0.83,1.31,10.73
0.89,1.22,10.61
0.99,1.27,10.72
0.91,1.27,10.86
1.04,1.43,10.72
1.13,1.4,10.68
1.04,1.31,10.65
0.97,1.26,10.81
0.86,1.3,10.85
0.99,1.41,10.82
1.11,1.45,10.61
1.18,1.35,10.58
1.14,1.29,10.87
1.16,1.43,10.82
1.13,1.39,10.75
1.2,1.38,10.74
1.2,1.37,10.62
1.19,1.37,10.73
1.2,1.43,10.74
1.16,1.57,10.64
1.25,1.4,10.57
1.25,1.41,10.71
1.19,1.39,10.84
1.2,1.43,10.74
1.34,1.5,10.76
1.24,1.52,10.66
1.25,1.46,10.7
1.34,1.46,10.57
1.3,1.48,10.62
1.37,1.47,10.63
1.32,1.44,10.69
1.29,1.49,10.72
1.25,1.65,10.89
1.41,1.55,10.26
1.72,1.57,9.41
1.52,1.64,10.44
1.13,1.44,11.14
1.2,1.68,10.79
1.26,1.62,10.54
1.1,1.4,10.74
0.93,1.26,10.96
1.07,1.4,10.93
1.2,1.66,10.45
1.28,1.42,10.58
1.03,1.27,10.91
0.87,1.31,10.87
0.92,1.33,10.82
1.02,1.43,10.78
1.02,1.53,10.69
1.07,1.53,10.69
0.86,1.34,10.67
0.92,1.37,10.69
0.91,1.34,10.8
0.79,1.21,10.82
0.85,1.29,10.76
0.82,1.17,10.88
0.88,1.33,10.64
0.92,1.29,10.78
0.77,1.16,10.79
0.81,1.25,10.8
0.82,1.28,10.7
0.75,1.16,10.84
0.7,1.21,10.87
0.75,1.17,10.81
0.7,1.17,10.79
0.74,1.22,10.8
0.76,1.19,10.67
0.79,1.15,10.67
0.7,1.01,10.93
0.68,1.07,10.91
0.66,1.09,10.86
0.67,1.16,10.74
0.7,1.18,10.8
0.64,1.04,10.92
0.64,1.16,10.83
0.69,1.01,11.46
0.55,1.29,11.21
0.72,1.54,10.34
1.01,1.13,10.44
0.8,0.92,10.94
0.84,1.35,10.79
0.94,1.69,10.5
0.96,1.56,10.53
0.84,1.36,10.78
0.81,1.18,10.89
0.97,1.39,10.77
1.05,1.51,10.71
1.1,1.42,10.67
1.08,1.39,10.76
0.97,1.35,10.81
1.09,1.52,10.62
1.01,1.41,10.82
1.13,1.48,10.58
1.13,1.37,10.57
1.17,1.43,10.67
1.06,1.32,10.86
1.18,1.57,10.67
1.2,1.5,10.7
1.16,1.38,10.81
1.2,1.44,10.74
1.19,1.48,10.64
1.2,1.55,10.5
1.19,1.45,10.79
1.25,1.51,10.74
1.28,1.51,10.68
1.3,1.54,10.77
1.31,1.61,10.59
1.38,1.54,10.65
1.35,1.54,10.71
1.36,1.54,10.7
1.35,1.56,10.63
1.33,1.54,10.38
1.44,1.53,10.27
1.2,1.48,11.06
1.31,1.67,10.67
1.43,1.45,10.16
1.37,1.44,10.18
1.04,1.28,11.09
1.14,1.6,10.81
1.27,1.65,10.89
1.23,1.51,10.76
1.1,1.33,10.69
0.99,1.22,10.99
1.09,1.5,10.79
1.09,1.5,10.58
1.09,1.41,10.83
1.05,1.51,10.62
0.96,1.39,10.73
0.92,1.29,10.85
0.92,1.27,10.94
0.97,1.39,10.76
1.05,1.4,10.72
0.99,1.31,10.89
0.94,1.33,10.84
0.8,1.31,10.78
0.91,1.38,10.61
0.78,1.35,10.79
0.92,1.36,10.65
0.82,1.26,10.77
0.75,1.25,10.87
0.77,1.24,10.92
0.85,1.25,10.76
0.85,1.31,10.7
0.79,1.25,10.91
0.73,1.2,10.84
0.77,1.29,10.8
0.75,1.23,10.76
0.69,1.18,10.85
0.75,1.21,10.8
0.76,1.33,10.84
0.75,1.32,10.83
0.76,1.26,10.81
0.68,1.17,10.89
0.71,1.25,10.82
0.68,1.29,10.87
0.76,1.23,10.89
0.75,1.2,10.75
0.74,1.27,10.95
0.72,1.25,11.24
0.7,1.48,10.87
0.8,1.46,10.64
0.9,1.45,10.33
0.92,1.3,10.78
0.88,1.39,10.87
0.89,1.44,10.83
0.86,1.48,10.81
1,1.44,10.55
1,1.47,10.6
0.95,1.35,10.82
1.12,1.55,10.73
1.16,1.57,10.74
1.14,1.45,10.52
1.09,1.39,10.81
1.07,1.47,10.71
1.11,1.5,10.73
1.26,1.55,10.62
1.25,1.56,10.67
1.25,1.49,10.8
1.22,1.55,10.63
1.31,1.54,10.68
1.29,1.51,10.6
1.25,1.38,10.7
1.33,1.55,10.62
1.42,1.65,10.77
1.42,1.51,10.45
1.39,1.23,10.96
1.42,1.49,10.76
1.31,1.54,10.72
1.46,1.62,10.67
1.37,1.61,10.62
1.02,1.44,11.03
1.45,1.65,10.62
1.31,1.54,10.54
1.28,1.49,10.57
1.44,1.72,10.58
1.32,1.64,10.95
1.31,1.75,10.69
1.52,1.76,10.3
1.4,1.66,10.37
1.52,1.7,10.21
1.37,1.66,10.47
1.34,1.92,10.63
1.4,1.66,10.68
1.24,1.66,10.47
1.27,1.6,10.65
1.1,1.58,11.15
1.25,1.72,10.77
1.38,1.6,10.51
1.36,1.64,10.49
1.24,2.15,10.42
1.32,1.68,10.51
1.29,1.55,10.7
1.28,1.51,10.84
1.23,1.49,10.84
1.28,1.72,10.58
1.29,1.72,10.42
1.25,1.66,10.52
1.14,1.58,10.89
1.1,1.69,10.78
1.34,1.7,10.52
1.24,1.69,10.52
1.21,1.65,10.67
1.22,1.59,10.82
1.18,1.65,10.73
1.19,1.6,10.75
1.19,1.63,10.61
1.25,1.62,10.71
1.15,1.57,10.6
1.16,1.52,10.7
0.93,1.53,10.59
1.17,1.65,10.57
1.16,1.59,10.75
1.17,1.5,10.94
1.08,1.31,10.96
1.23,1.47,10.77
1.18,1.54,10.79
1.17,1.48,11.33
1.03,1.6,11.36
1.21,1.96,10.55
1.39,1.63,10.27
1.4,1.44,10.44
1.31,1.63,10.75
1.42,1.83,10.69
1.36,1.76,10.57
1.4,1.66,10.53
1.34,1.61,10.61
1.41,1.62,10.72
1.47,1.68,10.61
1.47,1.81,10.43
1.47,1.7,10.68
1.44,1.71,10.54
1.42,1.58,10.87
1.39,1.7,10.64
1.39,1.72,10.67
1.54,1.75,10.5
1.51,1.71,10.63
1.5,1.69,10.67
1.4,1.72,10.61
1.46,1.67,10.77
1.49,1.72,10.58
1.5,1.68,10.64
1.51,1.65,10.61
1.5,1.73,10.53
1.52,1.76,10.56
1.58,1.77,10.52
1.59,1.73,10.73
1.59,1.78,10.61
1.6,1.74,10.6
