MeanSC11,MeanSC12,MeanSC13,MeanSC14,MeanSC15,MeanSC16,MeanSC17,MeanSC18,MeanSC19,MeanSC20,MedianSC11,MedianSC12,MedianSC13,MedianSC14,MedianSC15,MedianSC16,MedianSC17,MedianSC18,MedianSC19,MedianSC20,MAVSC11,MAVSC12,MAVSC13,MAVSC14,MAVSC15,MAVSC16,MAVSC17,MAVSC18,MAVSC19,MAVSC20,SSISC11,SSISC12,SSISC13,SSISC14,SSISC15,SSISC16,SSISC17,SSISC18,SSISC19,SSISC20,RMSSC11,RMSSC12,RMSSC13,RMSSC14,RMSSC15,RMSSC16,RMSSC17,RMSSC18,RMSSC19,RMSSC20,VarSC11,VarSC12,VarSC13,VarSC14,VarSC15,VarSC16,VarSC17,VarSC18,VarSC19,VarSC20,KurtSC11,KurtSC12,KurtSC13,KurtSC14,KurtSC15,KurtSC16,KurtSC17,KurtSC18,KurtSC19,KurtSC20,SkwSC11,SkwSC12,SkwSC13,SkwSC14,SkwSC15,SkwSC16,SkwSC17,SkwSC18,SkwSC19,SkwSC20,Label1
0.869087658,0.838873429,0.850716716,0.840310744,0.857106012,0.845612823,0.831503784,0.805538661,0.783520789,0.81497001,0.916533833,0.886903361,0.903383522,0.894424302,0.899754607,0.891818583,0.874961124,0.856234175,0.832622827,0.864564188,2.41371373,2.25800059,2.17853065,2.14275929,1.73894817,1.71914971,1.54591781,1.4281695,1.42811424,1.37001801,17608.9599,15393.2995,13742.413,11880.2408,9154.14879,7850.60963,6925.72681,5479.37978,5344.33302,5005.77829,4.19630312,3.92342956,3.70707607,3.44677252,3.02558239,2.80189394,2.63167757,2.34080751,2.31178135,2.23735967,0.024796414,0.026392773,0.031232696,0.027882689,0.020740298,0.022477738,0.023108848,0.028593655,0.026645192,0.025961978,13.5922318,13.2318998,11.7498612,10.4002626,13.23044,11.6558145,12.2169257,9.82152168,10.4025262,9.90820175,-3.26246166,-3.22306632,-3.05249368,-2.77344123,-3.15645091,-2.87189661,-3.03415937,-2.6950578,-2.71618871,-2.68736416,2
0.766816897,0.751198805,0.777709533,0.559696628,0.51747256,0.551127026,0.746137281,0.704591514,0.726536113,0.55690955,0.808285231,0.793253484,0.822347835,0.589624104,0.544145459,0.57814012,0.780715912,0.74225961,0.764640777,0.578141224,2.0138415,1.92489417,2.0489595,1.90407728,1.74686741,1.76126116,1.69588247,1.56528513,1.41167786,1.19660466,11476.5549,11167.884,10264.1675,8577.34396,7990.60544,7401.71666,7279.95637,6321.15606,5266.62553,4137.02154,3.38770643,3.34183841,3.20377395,2.92871029,2.8267659,2.72060961,2.69813943,2.51419094,2.29491297,2.03396695,0.019677396,0.019654512,0.01578364,0.009170194,0.01084445,0.008438948,0.012462804,0.014695723,0.016187526,0.007032202,11.7917405,13.5677466,10.9897677,9.82798546,9.39760425,10.8852731,14.4681043,12.8620103,14.1784525,16.0715197,-2.88085875,-3.12548526,-2.63696127,-2.05374608,-2.0497727,-2.0553312,-2.97786943,-2.86418175,-3.03399419,-2.58860852,2
0.73577508,0.68775084,0.63468234,0.56534102,0.42821896,0.57317078,0.74741379,0.73757747,0.76871466,0.56223857,0.76962076,0.74171028,0.68574654,0.58958533,0.45758056,0.59638176,0.78247087,0.77971328,0.81162293,0.59233005,1.8163439,1.9656937,1.9102496,1.6559433,1.7003403,1.5313347,1.4931186,1.4059876,1.323531,1.2117226,8278.7861,8214.1738,7298.1793,7094.4409,6441.6857,6087.6099,5671.9486,4687.8835,3977.3056,3370.1679,2.877288,2.866038,2.7015143,2.6635392,2.5380476,2.4673082,2.3815853,2.1651521,1.9943183,1.8358017,0.013456764,0.025320103,0.024038075,0.00858895,0.011323406,0.008032425,0.013519628,0.015964509,0.01457222,0.008134131,13.727096,7.5456452,5.7610841,14.239612,7.202518,14.965731,14.736155,11.542574,11.820944,11.88326,-2.8812122,-2.1637237,-1.8254142,-2.5755692,-1.3096413,-2.6334972,-3.0060526,-2.6374314,-2.6001239,-2.1586539,2
0.849068708,0.878508598,0.857394331,0.841423053,0.81317638,0.881184513,0.848016684,0.848886119,0.83178588,0.846116448,0.90607334,0.932763183,0.919906494,0.901660869,0.884699603,0.927974375,0.900105577,0.901719407,0.889077613,0.897696762,2.38914267,2.23435988,2.19067894,1.97845287,1.80953633,1.69640314,1.37260145,1.1920004,1.06036606,0.973788804,12000.6305,10618.9526,9844.46024,8147.31583,6640.3098,6414.01615,4041.52031,3143.72783,2516.01304,2227.67123,3.47288572,3.2668508,3.14546179,2.86151308,2.58334632,2.53894612,2.01539809,1.7775054,1.59017493,1.49628392,0.023172811,0.022193285,0.029999015,0.02530262,0.038548148,0.017249883,0.020284284,0.022489724,0.028258132,0.024247666,9.27043693,10.6238971,8.39243529,9.15849342,6.63979215,13.0920188,10.4460637,10.3440431,9.81845982,10.9752198,-2.40990735,-2.58189832,-2.32838426,-2.38629394,-2.10444987,-2.80778589,-2.53175075,-2.565392,-2.53283703,-2.67674634,2
0.67672852,0.72207969,0.70469855,0.72717231,0.76845776,0.78183028,0.8301601,0.82334125,0.8248149,0.78874049,0.70001948,0.7429594,0.72978109,0.74650578,0.79668341,0.80066702,0.84749497,0.84406985,0.85219916,0.81889275,1.7492728,1.5914097,1.5608047,1.4989511,1.4140266,1.3322846,1.1831336,1.0035316,0.93931134,0.91791549,6831.8748,6148.1316,5693.4899,5530.2113,4942.7449,4447.074,3790.6762,2557.9875,2212.4601,1982.9696,2.6137855,2.4795426,2.3861035,2.3516401,2.2232285,2.1088087,1.9469659,1.599371,1.4874341,1.4081795,0.01962809,0.014951626,0.02027477,0.013332293,0.020052516,0.012998369,0.01025641,0.012952808,0.016018604,0.020022374,7.0896606,9.4329677,8.8469852,11.418617,11.151444,13.50633,21.382513,15.527449,12.588938,9.8868654,-1.673217,-1.9500427,-2.0038624,-2.1520823,-2.4481475,-2.4770024,-3.3035054,-2.7771446,-2.5520118,-2.2837426,2
0.80243375,0.62288261,0.56139146,0.59245413,0.6674033,0.7539209,0.73438472,0.78014954,0.78325912,0.56002773,0.81665723,0.6323467,0.57545147,0.60266279,0.68954696,0.77232491,0.74920036,0.79997735,0.80145248,0.57404746,1.8843158,1.8536699,1.7364924,1.6380241,1.416947,1.2178762,1.4101361,1.2167183,1.0703281,0.95428776,7900.8692,7117.581,6328.8652,5928.5391,5008.8608,4749.8073,4184.5485,3156.7425,2447.4138,1892.2939,2.8108485,2.6678795,2.5157236,2.4348592,2.2380484,2.1794053,2.0456169,1.7767224,1.5644212,1.3756067,0.0125723,0.012280017,0.010197768,0.014221801,0.018453154,0.013196263,0.021426032,0.024826144,0.025463302,0.010948128,14.146871,8.8338948,8.6383863,9.6225445,10.883188,16.393399,7.7558872,8.0723043,8.1107084,8.6769759,-2.5013248,-1.755633,-1.6521662,-2.0004306,-2.4132796,-3.2020262,-1.8305203,-1.9387503,-1.909065,-1.6836001,2
0.83521001,0.78774548,0.78333279,0.7510755,0.70923339,0.74762075,0.69449513,0.6361466,0.5883225,0.56121796,0.86034778,0.8221586,0.80431852,0.76729967,0.72430218,0.75711221,0.69594101,0.63489625,0.58444181,0.55542082,1.4252283,1.4170938,1.3511705,1.1733621,1.2352657,1.0591862,0.87948611,0.72910358,0.63984653,0.58924981,6727.5253,6042.3341,6031.9784,4598.8446,4075.3912,3121.9446,2015.2921,1320.6088,961.20958,780.95965,2.5950452,2.459346,2.4572376,2.1455647,2.0197699,1.7677867,1.4203202,1.1497525,0.98090354,0.88416141,0.012505043,0.02137023,0.016429279,0.014371189,0.014952177,0.011366484,0.012009527,0.012806652,0.013968949,0.015470742,20.573885,12.615392,16.61828,16.292658,13.38654,17.320555,12.248196,9.5482349,7.8553538,6.6741793,-3.6782857,-2.9528436,-3.3212073,-3.122504,-2.4841027,-2.8162709,-1.8208945,-1.0777501,-0.38983592,0.059852231,2
0.796715726,0.755150598,0.607337315,0.770466406,0.604951411,0.570915736,0.847153431,0.825457457,0.810596048,0.474802508,0.843818604,0.799289101,0.636330178,0.808865774,0.635658381,0.601847709,0.88789575,0.872278544,0.860853389,0.506046796,2.20551246,2.07216029,1.88747347,1.98028766,1.84839288,1.57797132,1.40158179,1.21586278,1.03294805,0.932862051,13115.7712,10322.7615,8245.41783,8143.87596,7483.74625,5165.41386,4111.88323,3095.05222,2268.87589,1937.50711,3.62157027,3.21290546,2.87148356,2.8537477,2.73564366,2.27275469,2.0277779,1.75927605,1.50627882,1.39194364,0.026972433,0.023802524,0.011040887,0.019029767,0.012067039,0.011969907,0.022120463,0.025019855,0.02796231,0.010343949,11.1833992,8.71451779,9.84846565,8.16468837,9.16533198,7.57100366,8.87301458,8.20283973,7.96569947,8.41828263,-2.856003,-2.42681338,-2.23074527,-2.13753765,-2.14509442,-1.84280331,-2.19062308,-2.12067951,-2.11752765,-1.82879144,2
0.673429264,0.540865836,0.555483981,0.473673624,0.61280482,0.634047493,0.593939416,0.572222251,0.576979453,0.352416847,0.715299043,0.56718524,0.576635675,0.497205898,0.631303677,0.655210991,0.626338414,0.603097259,0.610031797,0.367233276,2.01813987,1.86919751,1.91747673,1.51453319,1.70991425,1.64633883,1.17477481,0.966331605,0.819806491,0.724799003,11343.3431,10016.2256,10013.5327,6326.57692,5802.45565,5021.84031,3508.34687,2298.27759,1628.82183,1347.15575,3.36967325,3.16642572,3.16600004,2.51652734,2.41003401,2.24206761,1.87399539,1.51676569,1.27689165,1.16125116,0.017706377,0.01070948,0.010484356,0.010348434,0.018450183,0.017907837,0.016201209,0.017495328,0.018535077,0.007012084,10.5034145,10.6882042,10.5321918,9.48564103,6.31560229,5.21767882,8.01149761,7.53941674,7.52648258,10.8988377,-2.65030446,-2.40482209,-2.13480225,-2.04055086,-1.19819239,-0.843630992,-2.15898786,-2.04836552,-1.99356847,-0.771466415,2
0.63531648,0.63381488,0.65853551,0.58847284,0.69838357,0.54056617,0.68915359,0.6866834,0.65651789,0.67102545,0.65183672,0.65015154,0.67116471,0.59931078,0.70747297,0.55073252,0.69914131,0.69308501,0.66124839,0.67540169,1.1674691,1.1792151,1.0704313,1.0609682,0.79570513,0.8428668,0.8809953,0.7753451,0.70694657,0.64912481,4368.3007,4219.1098,2986.2289,2940.823,2143.3421,2064.3066,1943.5413,1458.6709,1202.6122,1070.7421,2.0910938,2.055075,1.7289356,1.7157409,1.4647483,1.4374884,1.3948071,1.2083588,1.0971855,1.0352845,0.009836394,0.010736223,0.01208141,0.012487111,0.010428092,0.016426824,0.01579295,0.016729036,0.016527891,0.017485465,16.596485,16.035095,12.626263,10.30278,19.352594,8.7846079,10.865422,10.16945,9.783917,10.501092,-2.8741008,-2.8706792,-2.3652678,-1.6612536,-2.9694839,-1.3476958,-2.0725636,-1.878393,-1.7101568,-1.8985988,2
0.66623941,0.46186314,0.44764424,0.40376831,0.7904064,0.65406269,0.59435369,0.69762617,0.42809074,0.50909941,0.69307687,0.47694176,0.45740686,0.4162278,0.81376669,0.67760355,0.61225176,0.72128111,0.4415398,0.52373702,1.5566146,1.4035339,1.3309111,1.3637382,1.2061344,1.261373,1.2002757,1.239545,1.2181184,1.1296942,6158.5088,4953.576,4821.7634,4748.5675,4381.518,4350.1876,4318.8003,4314.0391,3544.0298,3159.3366,2.482876,2.2267767,2.1969501,2.1802112,2.094255,2.086754,2.0792122,2.0780658,1.8835014,1.7783417,0.013451714,0.0075615,0.008442553,0.008043663,0.012839357,0.01590504,0.008164017,0.012976835,0.011013241,0.008987368,9.7365556,10.050588,10.014168,9.7546617,19.578733,10.237836,17.049476,11.91587,7.5367827,9.5713649,-1.9192099,-1.3296784,-1.3599865,-0.91576671,-3.4660751,-1.998897,-2.8801523,-2.3284768,-1.1551407,-1.6267259,3
0.87024161,0.857581826,0.813621041,0.815360317,0.834848324,0.780657597,0.769138845,0.710319736,0.745387317,0.681454354,0.900914197,0.89163854,0.851965564,0.855724458,0.875727225,0.813728572,0.806380446,0.741232877,0.774828934,0.716672632,1.51267505,1.46822473,1.46605616,1.46671147,1.43916001,1.38900418,1.31333195,1.24647564,1.15823486,1.12146302,6228.3288,5434.65394,5363.05123,5092.8132,4899.5615,4584.94703,4002.93884,3449.65642,3052.12812,2834.81671,2.50318284,2.33825976,2.32280515,2.26352701,2.22016583,2.14770174,2.00676392,1.86292225,1.7522989,1.68876531,0.014497574,0.018834119,0.022334044,0.022271284,0.024166891,0.017778034,0.018228921,0.019587501,0.015133913,0.020706419,16.9128186,11.950973,10.4816526,10.2177866,9.84060309,10.8498073,9.97476007,8.81087588,9.91891407,8.60718368,-3.18280316,-2.68797812,-2.55122054,-2.46724601,-2.45216037,-2.48701386,-2.3759459,-2.08316652,-2.1551276,-2.04276715,3
0.647098808,0.516706349,0.511151952,0.644464473,0.689828847,0.565605779,0.793656651,0.75250947,0.620033615,0.779026383,0.67273922,0.534436861,0.53087005,0.67180202,0.717838507,0.581419102,0.816893334,0.78098211,0.636605221,0.80608588,1.53947026,1.54994799,1.47868631,1.49673215,1.48300089,1.35323568,1.30633407,1.23268053,1.13870996,1.18257896,6948.71964,6855.97132,6363.16931,6073.96048,5568.24114,5039.11415,4836.01105,4114.16611,4061.23567,3798.68113,2.63604242,2.61839098,2.52253232,2.46454062,2.35971209,2.24479713,2.19909323,2.02834073,2.01525077,1.94902056,0.01393101,0.00874182,0.00945312,0.014405871,0.012765211,0.007446539,0.01259915,0.021659968,0.008711518,0.020361259,11.8810999,11.4516178,11.3598611,10.1389832,10.6237122,12.9739244,15.5573397,11.1187304,16.0161811,11.4350382,-2.56738779,-1.95724579,-1.96908634,-2.29455024,-2.29780157,-1.9711779,-2.91068316,-2.5231171,-2.86971469,-2.58078854,3
0.80792702,0.80752699,0.6087261,0.61778465,0.80916623,0.82715412,0.57067451,0.78783102,0.85670203,0.61377064,0.85249065,0.84954154,0.6388761,0.64871073,0.85190435,0.86727254,0.6000103,0.83114433,0.9017936,0.64827656,1.8006243,1.6564279,1.6767938,1.674498,1.6643447,1.569293,1.6002259,1.6043773,1.3955282,1.2512573,9477.4433,8747.5888,8660.5373,8465.9872,8091.21,7922.6679,7676.8013,7354.2449,5774.0998,4336.1352,3.0800861,2.9591122,2.9443516,2.9110929,2.8459286,2.8161318,2.7720905,2.7132281,2.404138,2.0833808,0.019764694,0.019671925,0.010950968,0.0110646,0.017340141,0.019751321,0.0108012,0.019484845,0.025720261,0.013070566,12.050007,15.506989,12.59973,13.431061,13.22941,15.657811,12.802304,12.362973,13.042265,11.041165,-2.9929182,-3.3962971,-2.9010696,-2.9698963,-3.116118,-3.4264791,-2.8423319,-2.9959524,-3.1089815,-2.7158273,3
0.68062724,0.61315154,0.59153812,0.61738949,0.74004515,0.58380201,0.77834157,0.75492794,0.78641455,0.57437978,0.69979961,0.62234849,0.60071453,0.63178113,0.76745265,0.59145213,0.81128058,0.7976758,0.82443147,0.58886195,1.4010184,1.3929953,1.4239997,1.4185513,1.312551,1.3243185,1.3027569,1.2747783,1.3132011,1.2713452,5235.2199,5166.9696,5142.597,5039.1529,4540.8309,4311.5266,4276.2728,3780.2521,3776.9575,3750.4287,2.2892052,2.2742343,2.2688642,2.245929,2.1319888,2.0774606,2.0689498,1.9452599,1.944412,1.9375714,0.014227359,0.012664288,0.012736727,0.013731809,0.013994734,0.012914427,0.013301002,0.018149602,0.013208373,0.015493533,11.42163,8.5879707,8.9359896,8.1517789,12.875096,7.8955878,14.164223,11.1724,12.6415,6.8792944,-2.0751122,-0.93085504,-0.84735533,-1.0257191,-2.5264843,-0.61996617,-2.8021333,-2.5662453,-2.6029426,-0.85124442,3
0.5747147,0.59459773,0.79737272,0.80795726,0.79039998,0.62191019,0.69376537,0.59069546,0.66851735,0.66833557,0.58467006,0.59684493,0.83109164,0.84416975,0.81953936,0.62735548,0.71422474,0.59323173,0.68281841,0.6739726,1.6872629,1.7241101,1.3604647,1.3761389,1.3603008,1.5288574,1.2577903,1.4882772,1.3552586,1.3032547,6204.971,6021.1599,5894.5328,5834.0551,5781.2024,5423.4226,4700.0569,4535.8874,4486.7128,4088.6143,2.4909779,2.4538052,2.4278659,2.4153789,2.4044131,2.3288243,2.1679615,2.1297623,2.1181862,2.0220322,0.018337044,0.018872918,0.020986001,0.020558664,0.018566456,0.013823609,0.016136747,0.015468881,0.012069694,0.012463395,6.1404011,5.0402451,13.688366,13.881794,14.215891,7.3114784,13.339647,5.6143956,10.361919,9.942851,-0.67274727,-0.19907637,-3.114607,-3.1223287,-3.0665429,-0.90293995,-2.6126434,-0.27350151,-1.6971505,-1.4532631,3
